,Unnamed: 0,requestId,submissionId,status,matchDescription,events,fenrisId,requestBody.person.dateOfBirth,requestBody.person.middleName,requestBody.person.firstName,requestBody.person.lastName,requestBody.address.city,requestBody.address.zipCode,requestBody.address.state,requestBody.address.addressLine1,requestBody.otherAddresses,requestBody.standardizeAddress,type,title,detail,path,message,event_names,NEWLY ENGAGED,NEWLY SINGLE,NEW BABY,NEWLY MARRIED,PRENATAL,PREMOVER AT CONTRACT,PREMOVER AT LIST,NEW MOVER
28,28,,,500,,,, 04/10/1993,,Tyrone, Westgarth, Austin,73301, TX, 1295 Betty Lane,[],False,https://www.jhipster.tech/problem/problem-with-message,Internal Server Error,"Text """"20210430"""" could not be parsed at index 0",/v1/events/search,error.http.500,[],False,False,False,False,False,False,False,False
29,29,,,500,,,, 04/23/1983,,Carissa, Sharma, Austin,73301, TX, 1295 Betty Lane,[],False,https://www.jhipster.tech/problem/problem-with-message,Internal Server Error,"Text """"20210428"""" could not be parsed at index 0",/v1/events/search,error.http.500,[],False,False,False,False,False,False,False,False
30,30,,,500,,,, 07/25/1975,,Jefferson, Smith, Dallas,75204, TX, 55 Main St,[],False,https://www.jhipster.tech/problem/problem-with-message,Internal Server Error,"Text """"20210426"""" could not be parsed at index 0",/v1/events/search,error.http.500,[],False,False,False,False,False,False,False,False
31,31,,,500,,,, 06/25/1975,,Jenet, Kennedy, Dallas,75204, TX, 55 Main St,[],False,https://www.jhipster.tech/problem/problem-with-message,Internal Server Error,"Text """"20210424"""" could not be parsed at index 0",/v1/events/search,error.http.500,[],False,False,False,False,False,False,False,False
32,32,,,500,,,, 02/02/1954,,Carlita, Hovenden, Henderson,89012, NV, 6730 Cottonwood Pt,[],False,https://www.jhipster.tech/problem/problem-with-message,Internal Server Error,"Text """"20210422"""" could not be parsed at index 0",/v1/events/search,error.http.500,[],False,False,False,False,False,False,False,False
33,33,,,500,,,, 05/07/1952,,Gualterio, Hovenden, Henderson,89012, NV, 6730 Cottonwood Pt,[],False,https://www.jhipster.tech/problem/problem-with-message,Internal Server Error,"Text """"20210421"""" could not be parsed at index 0",/v1/events/search,error.http.500,[],False,False,False,False,False,False,False,False
34,34,7e9af014-7d8e-4644-86b7-3108bdde67d9,heimdal_test_LifeEvents_service-000034,NO EVENTS FOUND,Artificial match,[],gPvudtWc8Q/2cOd3jHnRKj5OtExt/7gIPHQEVnh/tIk=, 04/21/1966,,Chanda, Wrate, Amarillo,79171, TX, 54687 Rieder Cir,[],False,,,,,,[],False,False,False,False,False,False,False,False
35,35,99b8037b-e084-43f8-a552-5355ede87ef8,heimdal_test_LifeEvents_service-000035,NO EVENTS FOUND,Artificial match,[],7qr6GD6+OjZdv4DwrnKBzOEg/AXyE7XpeCLUFDgVb6Y=, 09/09/1956,,Cherye, Paal, Austin,78769, TX, 1 Thackeray Dr,[],False,,,,,,[],False,False,False,False,False,False,False,False
36,36,,,500,,,, 07/04/1962,,Reuven, Larenson, El Paso,79989, TX, 8 Judy Pkwy,[],False,https://www.jhipster.tech/problem/problem-with-message,Internal Server Error,"Text """"20210418"""" could not be parsed at index 0",/v1/events/search,error.http.500,[],False,False,False,False,False,False,False,False
37,37,,,500,,,, 07/04/1962,,Reuven, Larenson, Columbus,43220, OH, 2187 Farragut Ave,[],False,https://www.jhipster.tech/problem/problem-with-message,Internal Server Error,"Text """"20210418"""" could not be parsed at index 0",/v1/events/search,error.http.500,[],False,False,False,False,False,False,False,False
38,38,65699950-672e-4cf7-8517-b2f422c575c1,heimdal_test_LifeEvents_service-000038,NO EVENTS FOUND,Artificial match,[],QIIRFHr0Qkst1+E4n5r/UuVZmPbsqBEEqxktXsFSw44=, 06/19/1964,,Gradey, Madders, Naperville,60567, IL, 8 Toban Alley,[],False,,,,,,[],False,False,False,False,False,False,False,False
39,39,06014a51-30ea-4ada-b767-4decaa6aebb6,heimdal_test_LifeEvents_service-000039,SUCCESS,Artificial match,"[{""eventType"": ""NEWLY SINGLE"", ""eventDate"": ""2021-04"", ""processDate"": ""2021-04-18""}]",W4hHQJGkVe6yv9NP/zCsS5SF3058R3EwkZG7QGwx5to=, 10/28/1948,,Fowler, Schubert, Palatine,60078, IL, 2 Burning Wood Pt Unit 104,[],False,,,,,,['NEWLY SINGLE'],False,True,False,False,False,False,False,False
40,40,7eb6cf43-d6a1-4cfb-b50f-3a30f00e66f6,heimdal_test_LifeEvents_service-000040,SUCCESS,Artificial match,"[{""eventType"": ""NEWLY SINGLE"", ""eventDate"": ""2021-04"", ""processDate"": ""2021-04-17""}]",1RH8ArofMj54qt+Xw1YDVnywR0yJRvn82ENI5SFDD7I=, 11/23/1930,,Haleigh, Cotesford, Peoria,61629, IL, 1459 Marquette Jct Apt B105,[],False,,,,,,['NEWLY SINGLE'],False,True,False,False,False,False,False,False
41,41,9a560ee9-2b1a-432f-bf35-580aabaf167b,heimdal_test_LifeEvents_service-000041,NO EVENTS FOUND,Artificial match,[],DAAPD6qIogLJGQFt1cbXt7r4VK7dvAdh5AfTaV63rw0=,05/20/1970,,Kyle,Murdock,Highlands Ranch,80126,CO,18595 Old Aldrin Highway,[],False,,,,,,[],False,False,False,False,False,False,False,False
42,42,ceb64f8d-c7fc-4c26-b03d-3c1ba0165c34,heimdal_test_LifeEvents_service-000042,NO EVENTS FOUND,Artificial match,[],mfv6+Ce4k17fKxHUdfwl2KWPLiLAUgBF/pvcu+vGtpM=,12/08/1971,,Sharon,Murdock,Highlands Ranch,80126,CO,18595 Old Aldrin Highway,[],False,,,,,,[],False,False,False,False,False,False,False,False
43,43,cf5a70dd-820f-4ec7-ae7d-a12505ace150,heimdal_test_LifeEvents_service-000043,NO EVENTS FOUND,Artificial match,[],bcnV8B5lnYuX+YbW0x+UjpQPe+2iykBISsR5hhWTZZA=,03/10/2006,,Andy,Murdock,Highlands Ranch,80126,CO,18595 Old Aldrin Highway,[],False,,,,,,[],False,False,False,False,False,False,False,False
44,44,,,500,,,,08/12/1959,,Janet,Williams,Bedford Falls,50613,AL,5321 Red Oak Ln,[],False,https://www.jhipster.tech/problem/problem-with-message,Internal Server Error,"Text """"20210603"""" could not be parsed at index 0",/v1/events/search,error.http.500,[],False,False,False,False,False,False,False,False
45,45,929c2f90-1f0f-4af7-a751-80457455bd12,heimdal_test_LifeEvents_service-000045,SUCCESS,Artificial match,"[{""eventType"": ""NEWLY ENGAGED"", ""eventDate"": ""2021-06"", ""processDate"": ""2021-06-06""}]",ShNLOTWKb30ppCkYNMM2pI2hFRGURdq7DDpSoxOjZhc=,01/07/2000,,Hank,Chelsea,Hot Springs Village,71909,AR,8 White Tail Rd,[],False,,,,,,['NEWLY ENGAGED'],True,False,False,False,False,False,False,False
46,46,c172fd49-df7c-4861-9e03-4ed3202ac7ea,heimdal_test_LifeEvents_service-000046,SUCCESS,Artificial match,"[{""eventType"": ""NEW BABY"", ""eventDate"": ""2021-04"", ""processDate"": ""2021-03-18""}, {""eventType"": ""PRENATAL"", ""eventDate"": ""2021-04"", ""processDate"": ""2020-09-01""}]",tBIGT9FRiBYfEogQpVPEQ7DEKzZR4NECl1QFMLn1qhs=,06/19/1990,,Kira,Johnson,Tempe,85282,AZ,134 E Santa Mesa Ct,[],False,,,,,,"['NEW BABY', 'PRENATAL']",False,False,True,False,True,False,False,False
47,47,18d48d1e-a972-4643-b9b5-36a1739179c4,heimdal_test_LifeEvents_service-000047,SUCCESS,Artificial match,"[{""eventType"": ""NEWLY SINGLE"", ""eventDate"": ""2021-05"", ""processDate"": ""2021-05-11""}]",RzO332i2bU8GG0iYyOvxQ7c94b/1qTokKwnor9biRtw=,07/15/1980,,Randall,Pearson,Fort Collins,80126,CO,643 Walden Ct,[],False,,,,,,['NEWLY SINGLE'],False,True,False,False,False,False,False,False
48,48,,,500,,,,08/15/1962,,Ramon,Martinez,Washington,20011,DC,300 Williams St NE Apt 410,[],False,https://www.jhipster.tech/problem/problem-with-message,Internal Server Error,"Text """"20210530"""" could not be parsed at index 0",/v1/events/search,error.http.500,[],False,False,False,False,False,False,False,False
49,49,,,500,,,,08/15/1962,,Ramon,Martinez,Fairfax,22030,VA,12109 Oak Tree Ct,[],False,https://www.jhipster.tech/problem/problem-with-message,Internal Server Error,"Text """"20210530"""" could not be parsed at index 0",/v1/events/search,error.http.500,[],False,False,False,False,False,False,False,False
50,50,,,500,,,,10/05/1967,,Erin,Martinez,Washington,20011,DC,300 Williams St NE Apt 410,[],False,https://www.jhipster.tech/problem/problem-with-message,Internal Server Error,"Text """"20210530"""" could not be parsed at index 0",/v1/events/search,error.http.500,[],False,False,False,False,False,False,False,False
51,51,,,500,,,,10/05/1967,,Erin,Martinez,Fairfax,22030,VA,12109 Oak Tree Ct,[],False,https://www.jhipster.tech/problem/problem-with-message,Internal Server Error,"Text """"20210530"""" could not be parsed at index 0",/v1/events/search,error.http.500,[],False,False,False,False,False,False,False,False
52,52,,,500,,,,09/15/2001,,Olivia,Martinez,Washington,20011,DC,300 Williams St NE Apt 410,[],False,https://www.jhipster.tech/problem/problem-with-message,Internal Server Error,"Text """"20210530"""" could not be parsed at index 0",/v1/events/search,error.http.500,[],False,False,False,False,False,False,False,False
53,53,,,500,,,,09/15/2001,,Olivia,Martinez,Fairfax,22030,VA,12109 Oak Tree Ct,[],False,https://www.jhipster.tech/problem/problem-with-message,Internal Server Error,"Text """"20210530"""" could not be parsed at index 0",/v1/events/search,error.http.500,[],False,False,False,False,False,False,False,False
54,54,,,500,,,,01/19/1978,,Arvinder,Singh,Omaha,68124,NE,1581 Eglin Way SW,[],False,https://www.jhipster.tech/problem/problem-with-message,Internal Server Error,"Text """"20210608"""" could not be parsed at index 0",/v1/events/search,error.http.500,[],False,False,False,False,False,False,False,False
55,55,a62f9e22-2655-438c-909e-8e99acef1c41,heimdal_test_LifeEvents_service-000055,SUCCESS,Artificial match,"[{""eventType"": ""NEWLY SINGLE"", ""eventDate"": ""2021-05"", ""processDate"": ""2021-05-13""}]",Hiv1mqzAN6fsSonMal6jERqbC9fBh3A79RSQ4yMm+lI=,10/17/1988,,James,Dursley,Middletown,19709,DE,717 Hereford Dr,[],False,,,,,,['NEWLY SINGLE'],False,True,False,False,False,False,False,False
56,56,f5498f95-2d2d-4521-a20d-3f2a00e67588,heimdal_test_LifeEvents_service-000056,SUCCESS,Artificial match,"[{""eventType"": ""PRENATAL"", ""eventDate"": ""2022-02"", ""processDate"": ""2021-07-01""}]",kpmjEUx76UZVywi+svoezgBoL46fqRYoCbp9jcir1XQ=,10/19/1996,,Alia,Gabriel,New Castle,19720,DE,620 Navigation Blvd,[],False,,,,,,['PRENATAL'],False,False,False,False,True,False,False,False
57,57,,,500,,,,06/20/1957,,Amy,Nye,Randor,19968,DE,16854 Westport Blvd,[],False,https://www.jhipster.tech/problem/problem-with-message,Internal Server Error,"Text """"20210605"""" could not be parsed at index 0",/v1/events/search,error.http.500,[],False,False,False,False,False,False,False,False
58,58,75ffaba0-2c66-4881-a4ca-4b9c5bda6b01,heimdal_test_LifeEvents_service-000058,SUCCESS,Artificial match,"[{""eventType"": ""NEW BABY"", ""eventDate"": ""2020-11"", ""processDate"": ""2020-10-18""}, {""eventType"": ""PRENATAL"", ""eventDate"": ""2020-11"", ""processDate"": ""2020-04-01""}]",jLDF55vIbVDMgxWrwqZa0IVgfnL1lJIfdGJmUfkRgNw=,08/20/1998,,Hanna,Parmely,Milton,32570,FL,1732 Torrey Pines St,[],False,,,,,,"['NEW BABY', 'PRENATAL']",False,False,True,False,True,False,False,False
59,59,abfe8bf6-8541-4f72-b20f-7b748fa42b0c,heimdal_test_LifeEvents_service-000059,NO EVENTS FOUND,Artificial match,[],MoFXjYcWnMLnsoR/oCY/e8K/m5V0FPkD80st8sM0oJA=,02/16/1997,,Wyatt,Parmely,Milton,32570,FL,1732 Torrey Pines St,[],False,,,,,,[],False,False,False,False,False,False,False,False
60,60,ddfde350-408a-4918-a7c0-2d973cbe77a3,heimdal_test_LifeEvents_service-000060,SUCCESS,Artificial match,"[{""eventType"": ""NEWLY MARRIED"", ""eventDate"": ""2021-05"", ""processDate"": ""2021-05-23""}]",aCl4pGUK6T2Upw3Tau/KAwP2rkIa1W8zfhuJx6x0UDI=,09/12/1969,,Stacy,Maddow,Savannah,31407,GA,70 Belgrove St,[],False,,,,,,['NEWLY MARRIED'],False,False,False,True,False,False,False,False
61,61,12037287-48aa-45d6-bbe3-ffe500d0649c,heimdal_test_LifeEvents_service-000061,SUCCESS,Artificial match,"[{""eventType"": ""NEWLY MARRIED"", ""eventDate"": ""2021-05"", ""processDate"": ""2021-05-23""}]",x2Nnoq4oLaRKctsaGnsXUe5APC+qmKKpG+VothG9fK4=,02/15/1973,,Ellen,Maddow,Savannah,31407,GA,70 Belgrove St,[],False,,,,,,['NEWLY MARRIED'],False,False,False,True,False,False,False,False
62,62,0478dc58-642a-464b-baf1-5179b1b69358,heimdal_test_LifeEvents_service-000062,NO EVENTS FOUND,Artificial match,[],8Y/cpQxQ5tR086/RSN+wHOUe2/MthbylOQmHwGgWVg4=,09/23/1982,,Tim,Warren,Ft Stewart,31315,GA,7505 Sailboat Cv,[],False,,,,,,[],False,False,False,False,False,False,False,False
63,63,,,500,,,,10/12/1968,,John,Hull,Grovetown,30813,GA,1411 Trenton Ave NE,[],False,https://www.jhipster.tech/problem/problem-with-message,Internal Server Error,"Text """"20210608"""" could not be parsed at index 0",/v1/events/search,error.http.500,[],False,False,False,False,False,False,False,False
64,64,,,500,,,,07/19/1972,,Allison,Hull,Grovetown,30813,GA,1411 Trenton Ave NE,[],False,https://www.jhipster.tech/problem/problem-with-message,Internal Server Error,"Text """"20210608"""" could not be parsed at index 0",/v1/events/search,error.http.500,[],False,False,False,False,False,False,False,False
65,65,a7ef2fdb-435d-409e-a249-01c41d4d10c8,heimdal_test_LifeEvents_service-000065,SUCCESS,Artificial match,"[{""eventType"": ""NEWLY SINGLE"", ""eventDate"": ""2021-04"", ""processDate"": ""2021-04-03""}]",uAymqHSsj2gxzZxBOSe83NXCqZDO0B4WQbDPE1KZ8rk=,05/02/1958,,Chris,Lowe,Marinez,30907,GA,3920 Carter Blvd,[],False,,,,,,['NEWLY SINGLE'],False,True,False,False,False,False,False,False
66,66,,,500,,,,10/07/1943,,Bob,Simpson,Johnston,50131,IA,2515 Edgemont,[],False,https://www.jhipster.tech/problem/problem-with-message,Internal Server Error,"Text """"20210607"""" could not be parsed at index 0",/v1/events/search,error.http.500,[],False,False,False,False,False,False,False,False
67,67,b5a33b0f-a0b4-4265-a74d-2380ac8586dd,heimdal_test_LifeEvents_service-000067,SUCCESS,Artificial match,"[{""eventType"": ""NEW MOVER"", ""eventDate"": ""2021-06-07"", ""processDate"": ""2021-06-09"", ""otherData"": {""previousAddress"": {""addressLine1"": ""2515 EDGEMONT"", ""city"": ""JOHNSTON"", ""state"": ""IA"", ""zipCode"": ""50131""}, ""currentAddress"": {""addressLine1"": ""4513 W 185TH ST"", ""city"": ""SHAWNEE"", ""state"": ""KS"", ""zipCode"": ""66218""}}}]",5T3APKcMYqpsqT/maUIMZ8gAVZkfs49uMsTkU90JpM8=,10/07/1943,,Bob,Simpson,Shawnee,66218,Ks,4513 W 185th St,[],False,,,,,,['NEW MOVER'],False,False,False,False,False,False,False,True
68,68,,,500,,,,10/20/1947,,Betty,Simpson,Johnston,50131,IA,2515 Edgemont,[],False,https://www.jhipster.tech/problem/problem-with-message,Internal Server Error,"Text """"20210607"""" could not be parsed at index 0",/v1/events/search,error.http.500,[],False,False,False,False,False,False,False,False
