,person.firstName,person.lastName,person.dateOfBirth,address.addressLine1,address.city,address.state,address.zipCode
60,Stacy,Maddow,09/12/1969,70 Belgrove St,Savannah,GA,31407
61,Ellen,Maddow,02/15/1973,70 Belgrove St,Savannah,GA,31407
62,Tim,Warren,09/23/1982,7505 Sailboat Cv,Ft Stewart,GA,31315
63,John,Hull,10/12/1968,1411 Trenton Ave NE,Grovetown,GA,30813
64,Allison,Hull,07/19/1972,1411 Trenton Ave NE,Grovetown,GA,30813
65,Chris,Lowe,05/02/1958,3920 Carter Blvd,Marinez,GA,30907
66,Bob,Simpson,10/07/1943,2515 Edgemont,Johnston,IA,50131
67,Bob,Simpson,10/07/1943,4513 W 185th St,Shawnee,Ks,66218
68,Betty,Simpson,10/20/1947,2515 Edgemont,Johnston,IA,50131
69,Betty,Simpson,10/20/1947,4513 W 185th St,Shawnee,KS,66218
70,Tilly,Franks,01/12/1940,1306 Gibson Ave,Cedar Rapids,IA,52405
71,Lauren,Daniels,06/14/1975,2910 NW Southpark Dr,Ankeny,IA,50023
72,Lauren,Daniels,06/14/1975,9711 Pioneer Trl,Glen Burnie,MD,21060
